time,open,high,low,close,volume,symbol,name,country
2024-11-05,19170.15,19263.14,19104.59,19256.27,47179815,DAX,DAX,DE
2024-11-06,19360.75,19563.97,19007.88,19039.31,112726701,DAX,DAX,DE
2024-11-07,19157.22,19437.88,19148.79,19362.52,83268905,DAX,DAX,DE
2024-11-08,19411.59,19411.6,19146.53,19215.48,69792496,DAX,DAX,DE
2024-11-11,19386.7,19546.9,19382.48,19448.6,59016819,DAX,DAX,DE
2024-11-12,19260.58,19339.82,19019.67,19033.64,92931094,DAX,DAX,DE
2024-11-13,19024.28,19125.69,18838.68,19003.11,92679550,DAX,DAX,DE
2024-11-14,19072.19,19307.57,19060.44,19263.7,77861901,DAX,DAX,DE
2024-11-15,19135.64,19288.89,19121.14,19210.81,67439847,DAX,DAX,DE
2024-11-18,19249.26,19279.16,19091.9,19189.19,51546494,DAX,DAX,DE
2024-11-19,19175.84,19211.8,18812.53,19060.31,62320368,DAX,DAX,DE
2024-11-20,19153.03,19198.74,18962.19,19004.78,53795442,DAX,DAX,DE
2024-11-21,19060.92,19152.61,18900.02,19146.17,55646812,DAX,DAX,DE
2024-11-22,19240.23,19338.1,19036.41,19322.59,71163965,DAX,DAX,DE
2024-11-25,19462.24,19468.3,19329.88,19405.2,121851793,DAX,DAX,DE
2024-11-26,19309.16,19385.35,19239.37,19295.98,60758153,DAX,DAX,DE
2024-11-27,19257.77,19287.04,19145.01,19261.75,51794509,DAX,DAX,DE
2024-11-28,19366.72,19437.57,19346.59,19425.73,42531069,DAX,DAX,DE
2024-11-29,19400.38,19640.15,19380.21,19626.45,52162616,DAX,DAX,DE
2024-12-02,19586.17,19933.62,19568.5,19933.62,63210300,DAX,DAX,DE
2024-12-03,19947.18,20038.01,19926.26,20016.75,63234727,DAX,DAX,DE
2024-12-04,20103.89,20260.61,20085.31,20232.14,63418896,DAX,DAX,DE
2024-12-05,20218.29,20373.43,20216.33,20358.8,58274507,DAX,DAX,DE
2024-12-06,20374.54,20425.86,20331.24,20384.61,61609983,DAX,DAX,DE
2024-12-09,20461.85,20461.85,20318.26,20345.96,58794893,DAX,DAX,DE
2024-12-10,20278.74,20393.86,20277.63,20329.16,66183845,DAX,DAX,DE
2024-12-11,20296.19,20415.41,20292.86,20399.16,59728077,DAX,DAX,DE
2024-12-12,20440.07,20453.44,20388.03,20426.27,55684773,DAX,DAX,DE
2024-12-13,20450.96,20522.82,20367.12,20405.92,52015923,DAX,DAX,DE
2024-12-16,20360.75,20387.88,20304.78,20313.81,64212734,DAX,DAX,DE
2024-12-17,20290.96,20356.58,20241.5,20246.37,70862391,DAX,DAX,DE
2024-12-18,20273.85,20329.67,20241.98,20242.57,62488129,DAX,DAX,DE
2024-12-19,20032.05,20105.1,19959.18,19969.86,70045669,DAX,DAX,DE
2024-12-20,19822.87,19924.7,19649.87,19884.75,135977885,DAX,DAX,DE
2024-12-23,19847.97,19901.32,19805.57,19848.77,38341594,DAX,DAX,DE
2024-12-27,19831.68,19984.32,19801.33,19984.32,43396356,DAX,DAX,DE
2024-12-30,19892.97,19978.0,19882.67,19909.14,26662242,DAX,DAX,DE
2025-01-02,19923.07,20024.79,19833.82,20024.66,52445568,DAX,DAX,DE
2025-01-03,20028.4,20031.11,19868.14,19906.08,44372879,DAX,DAX,DE
2025-01-06,19982.66,20216.19,19921.12,20216.19,70784860,DAX,DAX,DE
2025-01-07,20206.04,20391.17,20152.7,20340.57,62020034,DAX,DAX,DE
2025-01-08,20322.17,20480.49,20242.56,20329.94,62954898,DAX,DAX,DE
2025-01-09,20284.2,20360.38,20245.96,20317.1,50177095,DAX,DAX,DE
2025-01-10,20316.55,20400.52,20187.97,20214.79,76245504,DAX,DAX,DE
2025-01-13,20157.24,20176.11,20025.28,20132.85,56263562,DAX,DAX,DE
2025-01-14,20266.14,20362.59,20234.26,20271.33,65394124,DAX,DAX,DE
2025-01-15,20305.24,20629.77,20290.62,20574.68,81035083,DAX,DAX,DE
2025-01-16,20665.61,20675.08,20580.09,20655.39,66273449,DAX,DAX,DE
2025-01-17,20732.04,20924.5,20716.38,20903.39,76253109,DAX,DAX,DE
2025-01-20,20900.68,21054.6,20880.57,20990.31,49988707,DAX,DAX,DE
2025-01-21,20925.75,21045.67,20922.8,21042.0,49305505,DAX,DAX,DE
2025-01-22,21169.61,21330.87,21162.31,21254.27,63282258,DAX,DAX,DE
2025-01-23,21277.58,21423.02,21254.08,21411.53,56353219,DAX,DAX,DE
2025-01-24,21463.15,21520.5,21353.01,21394.93,67380512,DAX,DAX,DE
2025-01-27,21201.99,21344.98,21081.61,21282.18,79343810,DAX,DAX,DE
2025-01-28,21374.29,21475.9,21296.33,21430.58,68020257,DAX,DAX,DE
2025-01-29,21511.47,21671.59,21475.64,21637.53,69568839,DAX,DAX,DE
2025-01-30,21676.22,21732.05,21650.78,21727.2,81446400,DAX,DAX,DE
2025-01-31,21771.49,21800.52,21689.29,21732.05,70233927,DAX,DAX,DE
2025-02-03,21301.53,21462.79,21252.71,21428.24,80512815,DAX,DAX,DE
2025-02-04,21474.79,21518.54,21298.71,21505.7,63679502,DAX,DAX,DE
2025-02-05,21429.83,21585.93,21387.72,21585.93,61173729,DAX,DAX,DE
2025-02-06,21718.1,21921.02,21691.57,21902.42,75964253,DAX,DAX,DE
2025-02-07,21908.48,21945.31,21759.97,21787.0,68654944,DAX,DAX,DE
2025-02-10,21830.93,21945.57,21785.02,21911.74,54330738,DAX,DAX,DE
2025-02-11,21909.96,22046.41,21884.38,22037.83,55759641,DAX,DAX,DE
2025-02-12,22077.82,22193.65,21971.63,22148.03,73775608,DAX,DAX,DE
2025-02-13,22410.58,22624.57,22306.33,22612.02,96482368,DAX,DAX,DE
2025-02-14,22526.87,22609.97,22467.37,22513.42,68291573,DAX,DAX,DE
2025-02-17,22589.91,22804.2,22550.73,22798.09,49597126,DAX,DAX,DE
2025-02-18,22851.37,22882.77,22715.25,22844.5,61526121,DAX,DAX,DE
2025-02-19,22875.96,22935.06,22416.11,22433.63,72215853,DAX,DAX,DE
2025-02-20,22501.21,22574.59,22280.23,22314.65,70289468,DAX,DAX,DE
2025-02-21,22329.22,22393.59,22226.34,22287.56,73524466,DAX,DAX,DE
2025-02-24,22470.68,22515.36,22235.26,22425.93,72044349,DAX,DAX,DE
2025-02-25,22362.81,22576.12,22332.15,22410.27,71533099,DAX,DAX,DE
2025-02-26,22571.93,22833.25,22554.37,22794.11,81091115,DAX,DAX,DE
2025-02-27,22587.27,22686.41,22378.06,22550.89,74227184,DAX,DAX,DE
2025-02-28,22409.25,22551.43,22329.06,22551.43,119058512,DAX,DAX,DE
2025-03-03,22682.95,23307.97,22531.6,23147.02,94040948,DAX,DAX,DE
2025-03-04,22852.72,22869.92,22320.07,22326.81,108160073,DAX,DAX,DE
2025-03-05,22804.81,23176.39,22790.89,23081.03,143963504,DAX,DAX,DE
2025-03-06,23245.34,23475.88,23061.57,23419.48,149033328,DAX,DAX,DE
2025-03-07,23195.22,23234.28,22860.08,23008.94,106635079,DAX,DAX,DE
2025-03-10,23163.78,23164.24,22519.21,22620.95,108707032,DAX,DAX,DE
2025-03-11,22680.39,22835.1,22258.3,22328.77,97374759,DAX,DAX,DE
2025-03-12,22525.74,22813.84,22461.77,22676.41,80929093,DAX,DAX,DE
2025-03-13,22578.1,22752.83,22417.52,22567.14,78955580,DAX,DAX,DE
2025-03-14,22501.34,23049.48,22465.12,22986.82,93287423,DAX,DAX,DE
2025-03-17,22998.53,23154.57,22933.57,23154.57,67151958,DAX,DAX,DE
2025-03-18,23266.65,23476.01,23240.56,23380.7,80663343,DAX,DAX,DE
2025-03-19,23272.15,23372.08,23136.54,23288.06,79641371,DAX,DAX,DE
2025-03-20,23295.72,23315.49,22819.76,22999.15,92465760,DAX,DAX,DE
2025-03-21,22926.42,22956.98,22723.19,22891.68,146780701,DAX,DAX,DE
2025-03-24,23075.76,23137.48,22813.11,22852.66,66759290,DAX,DAX,DE
2025-03-25,22913.42,23182.78,22845.52,23109.79,60671100,DAX,DAX,DE
2025-03-26,23202.25,23204.59,22826.37,22839.03,57800034,DAX,DAX,DE
2025-03-27,22574.46,22740.47,22469.88,22678.74,74817476,DAX,DAX,DE
2025-03-28,22558.84,22614.96,22377.91,22461.52,81650762,DAX,DAX,DE
2025-03-31,22253.05,22320.02,21978.46,22163.49,83869142,DAX,DAX,DE
2025-04-01,22343.41,22573.71,22297.37,22539.98,67890113,DAX,DAX,DE
2025-04-02,22483.93,22485.41,22139.27,22390.84,61146867,DAX,DAX,DE
2025-04-03,21842.08,22147.45,21670.96,21717.39,117129291,DAX,DAX,DE
2025-04-04,21543.47,21642.17,20437.37,20641.72,188118484,DAX,DAX,DE
2025-04-07,18751.75,20799.68,18489.91,19789.62,246525726,DAX,DAX,DE
2025-04-08,20039.69,20468.43,19884.48,20280.26,137326213,DAX,DAX,DE
